id;brand;model;price;image;features;whatsapp;offer;category
1;Samsung;Samsung 06 128GB;95;https://images.samsung.com/is/image/samsung/p6pim/ar/sm-a146blvcaro/gallery/ar-galaxy-a06-sm-a146-sm-a146blvcaro-539258597?$650_519_PNG$;"4GB RAM;128GB;Con estuche";593958688163;VERDADERO;Económico
2;Samsung;Samsung A16 4/128GB;128;https://images.samsung.com/is/image/samsung/p6pim/ar/sm-a165mlvcaro/gallery/ar-galaxy-a16-5g-sm-a165-sm-a165mlvcaro-539963559?$650_519_PNG$;"4GB RAM;128GB;Con estuche";593958688163;FALSO;Económico
3;Samsung;Samsung A16 8/256GB;155;https://images.samsung.com/is/image/samsung/p6pim/ar/sm-a165mlvcaro/gallery/ar-galaxy-a16-5g-sm-a165-sm-a165mlvcaro-539963559?$650_519_PNG$;"8GB RAM;256GB;Con estuche";593958688163;VERDADERO;Media
4;Samsung;Samsung A17 5G 256GB;228;https://images.samsung.com/is/image/samsung/p6pim/ar/sm-a176elvcaro/gallery/ar-galaxy-a17-5g-sm-a176-sm-a176elvcaro-540038472?$650_519_PNG$;"8GB RAM;256GB;5G";593958688163;FALSO;Media
5;Samsung;Samsung A26 5G 8/256GB;235;https://images.samsung.com/is/image/samsung/p6pim/ar/sm-a266elvcaro/gallery/ar-galaxy-a26-5g-sm-a266-sm-a266elvcaro-540038473?$650_519_PNG$;"8GB RAM;256GB;5G";593958688163;VERDADERO;Media
6;Samsung;Samsung A36 5G 8/256GB;285;https://images.samsung.com/is/image/samsung/p6pim/ar/sm-a366elvcaro/gallery/ar-galaxy-a36-5g-sm-a366-sm-a366elvcaro-540038474?$650_519_PNG$;"8GB RAM;256GB;5G";593958688163;FALSO;Media
7;Samsung;Samsung A56 5G 128GB;350;https://images.samsung.com/is/image/samsung/p6pim/ar/sm-a566elvcaro/gallery/ar-galaxy-a56-5g-sm-a566-sm-a566elvcaro-540038475?$650_519_PNG$;"8GB RAM;128GB;5G";593958688163;VERDADERO;Media
8;Samsung;Samsung A56 12/256GB;365;https://images.samsung.com/is/image/samsung/p6pim/ar/sm-a566elvcaro/gallery/ar-galaxy-a56-5g-sm-a566-sm-a566elvcaro-540038475?$650_519_PNG$;"12GB RAM;256GB;5G";593958688163;FALSO;Media
9;Samsung;Samsung M55 5G 256GB;255;https://images.samsung.com/is/image/samsung/p6pim/ar/sm-m556elvcaro/gallery/ar-galaxy-m55-5g-sm-m556-sm-m556elvcaro-540038476?$650_519_PNG$;"8GB RAM;256GB;5G";593958688163;VERDADERO;Media
10;Samsung;Samsung Galaxy X7 128GB;300;https://images.samsung.com/is/image/samsung/p6pim/ar/sm-x716elvcaro/gallery/ar-galaxy-x7-sm-x716-sm-x716elvcaro-540038477?$650_519_PNG$;"8GB RAM;128GB;Con cover";593958688163;FALSO;Media
11;Samsung;Samsung S24 FE 256GB;490;https://images.samsung.com/is/image/samsung/p6pim/ar/sm-s721elvcaro/gallery/ar-galaxy-s24-fe-sm-s721-sm-s721elvcaro-540038478?$650_519_PNG$;"8GB RAM;256GB";593958688163;VERDADERO;Premium
12;Samsung;Samsung S24 FE 512GB;550;https://images.samsung.com/is/image/samsung/p6pim/ar/sm-s721elvcaro/gallery/ar-galaxy-s24-fe-sm-s721-sm-s721elvcaro-540038478?$650_519_PNG$;"12GB RAM;512GB";593958688163;FALSO;Premium
13;Samsung;Samsung S25 12/256GB;715;https://images.samsung.com/is/image/samsung/p6pim/ar/240115/gallery/ar-galaxy-s25-s931-sm-s931bzkearo-539961471?$650_519_PNG$;"12GB RAM;256GB";593958688163;VERDADERO;Premium
14;Samsung;Samsung S25 FE 12/512GB;730;https://images.samsung.com/is/image/samsung/p6pim/ar/240115/gallery/ar-galaxy-s25-fe-sm-s721-sm-s721bzkearo-539961472?$650_519_PNG$;"12GB RAM;512GB";593958688163;FALSO;Premium
15;Samsung;Samsung S25 Plus 256GB;765;https://images.samsung.com/is/image/samsung/p6pim/ar/240115/gallery/ar-galaxy-s25-plus-sm-s931-sm-s931bzkearo-539961473?$650_519_PNG$;"12GB RAM;256GB";593958688163;VERDADERO;Premium
16;Samsung;Samsung S25 Plus 512GB;830;https://images.samsung.com/is/image/samsung/p6pim/ar/240115/gallery/ar-galaxy-s25-plus-sm-s931-sm-s931bzkearo-539961473?$650_519_PNG$;"12GB RAM;512GB";593958688163;FALSO;Premium
17;Samsung;Samsung S25 Ultra 512GB;1030;https://images.samsung.com/is/image/samsung/p6pim/ar/240115/gallery/ar-galaxy-s25-ultra-sm-s931-sm-s931bzkearo-539961474?$650_519_PNG$;"12GB RAM;512GB";593958688163;VERDADERO;Premium
18;Samsung;Samsung S25 Ultra 1TB;1170;https://images.samsung.com/is/image/samsung/p6pim/ar/240115/gallery/ar-galaxy-s25-ultra-sm-s931-sm-s931bzkearo-539961474?$650_519_PNG$;"16GB RAM;1TB";593958688163;FALSO;Premium
19;Samsung;Samsung Flip 7 512GB;970;https://images.samsung.com/is/image/samsung/p6pim/ar/240115/gallery/ar-galaxy-flip7-sm-f741-sm-f741bzkearo-539961475?$650_519_PNG$;"12GB RAM;512GB;Plegable";593958688163;VERDADERO;Premium
20;Samsung;Samsung Fold 6 256GB;1270;https://images.samsung.com/is/image/samsung/p6pim/ar/240115/gallery/ar-galaxy-fold6-sm-f946-sm-f946bzkearo-539961476?$650_519_PNG$;"12GB RAM;256GB;Plegable";593958688163;FALSO;Premium
21;Samsung;Samsung Fold 7 256GB;1530;https://images.samsung.com/is/image/samsung/p6pim/ar/240115/gallery/ar-galaxy-fold7-sm-f946-sm-f946bzkearo-539961477?$650_519_PNG$;"12GB RAM;256GB;Plegable";593958688163;VERDADERO;Premium
